"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","truncate","inline-block","truncate 2"
"https://shopee.co.id/ANTING-ANAK-KAWATAN-HELLO-KITTY-PINKY-B-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.55257003332?extraParams=%7B%22display_model_id%22%3A320625316852%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wp-mln0dard3q4g2b","ANTING ANAK KAWATAN HELLO KITTY PINKY B - EMAS 17K - BUNGA TANJUNG GOLD","2.646.000","","4.9 Penilaian Toko",""
"https://shopee.co.id/ANTING-TAUGE-TOGE-WHITE-GOLD-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.13974700618?extraParams=%7B%22display_model_id%22%3A152241106327%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224y-mkrivnf0zg1u98","ANTING TAUGE TOGE WHITE GOLD - EMAS 17K - BUNGA TANJUNG GOLD","1.427.000","Pilih Lokal","4.9","604 terjual"
"https://shopee.co.id/ANTING-TINDIK-KIARA-MATA-BLINK-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.43729952047?extraParams=%7B%22display_model_id%22%3A355763159566%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wn-mmwobdudpdz6a1","ANTING TINDIK KIARA MATA BLINK - EMAS 17K - BUNGA TANJUNG GOLD","2.646.000","","4.9 Penilaian Toko",""
"https://shopee.co.id/ANTING-TINDIK-ATOM-SUPER-RINGAN-WHITE-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.55304441788?extraParams=%7B%22display_model_id%22%3A320554066085%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-82250-mkrsr7n4kgeed9","ANTING TINDIK ATOM SUPER RINGAN WHITE - EMAS 17K - BUNGA TANJUNG GOLD","1.427.000","Pilih Lokal","5.0","161 terjual"
"https://shopee.co.id/ANTING-KLIP-AURA-MINI-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.48009734541?extraParams=%7B%22display_model_id%22%3A380859615456%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wr-mnnof6kw1bep13","ANTING KLIP AURA MINI - EMAS 17K - BUNGA TANJUNG GOLD","5.837.000","Pilih Lokal","4.9 Penilaian Toko",""
"https://shopee.co.id/GELANG-SPIRAL-GARDEN-WISPER-KH-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.57104780027?extraParams=%7B%22display_model_id%22%3A355442537428%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224x-mjjomhk3gj5u07","GELANG SPIRAL GARDEN WISPER KH - EMAS 17K - BUNGA TANJUNG GOLD","23.722.000","Pilih Lokal","4.9 Penilaian Toko",""
"https://shopee.co.id/ANTING-KLIP-LISTRING-E-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.27837288430?extraParams=%7B%22display_model_id%22%3A258491463211%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rbk0-map719crhmw4cc","ANTING KLIP LISTRING E - EMAS 17K - BUNGA TANJUNG GOLD","3.906.000","Pilih Lokal","5.0","5 terjual"
"https://shopee.co.id/ANTING-ALURA-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.24951808647?extraParams=%7B%22display_model_id%22%3A108247019140%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7r98s-logiga8cgge4a4","ANTING ALURA - EMAS 17K - BUNGA TANJUNG GOLD","2.898.000","Pilih Lokal","5.0","146 terjual"
"https://shopee.co.id/ANTING-PENITI-BLINK-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.18251224249?extraParams=%7B%22display_model_id%22%3A107517096911%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224p-mkrzyneoqosmd2","ANTING PENITI BLINK - EMAS 17K - BUNGA TANJUNG GOLD","5.330.000","Pilih Lokal","4.9","283 terjual"
"https://shopee.co.id/ANTING-KLIP-ARDENELLE-HATI-SHIMMER-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.54102725054?extraParams=%7B%22display_model_id%22%3A360262515778%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224v-mkvq9w95qgp199","ANTING KLIP ARDENELLE HATI SHIMMER - EMAS 17K - BUNGA TANJUNG GOLD","6.552.000","Pilih Lokal","5.0","2 terjual"
