"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","truncate","inline-block","truncate 2"
"https://shopee.co.id/CINCIN-ULAR-TRIPLE-LAYER-BLINK-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.27394743939?extraParams=%7B%22display_model_id%22%3A430878574614%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wg-mnv416ewvaq0db","CINCIN ULAR TRIPLE LAYER BLINK - EMAS 17K - BUNGA TANJUNG GOLD","16.758.000","","4.9 Penilaian Toko",""
"https://shopee.co.id/CINCIN-THEA-BOLD-EMAS-18K-BUNGA-TANJUNG-GOLD-i.48895190.28217947560?extraParams=%7B%22display_model_id%22%3A233476116624%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wl-mn9v2z5qhx547f","CINCIN THEA BOLD - EMAS 18K - BUNGA TANJUNG GOLD","3.906.000","Pilih Lokal","4.9","25 terjual"
"https://shopee.co.id/CINCIN-TUNANGAN-SOLITAIRE-ALEXIA-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.15346578114?extraParams=%7B%22display_model_id%22%3A157853543871%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wh-mlysjkgovtog1e","CINCIN TUNANGAN SOLITAIRE ALEXIA - EMAS 17K - BUNGA TANJUNG GOLD","5.670.000","Pilih Lokal","5.0","45 terjual"
"https://shopee.co.id/CINCIN-CALLA-BOLD-EMAS-18K-BUNGA-TANJUNG-GOLD-i.48895190.26529902397?extraParams=%7B%22display_model_id%22%3A157738958229%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7rbk6-m7hm96vao9ed93","CINCIN CALLA BOLD - EMAS 18K - BUNGA TANJUNG GOLD","6.048.000","Pilih Lokal","4.9 Penilaian Toko",""
"https://shopee.co.id/CINCIN-MEIDA-CLASSIC-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.54409938324?extraParams=%7B%22display_model_id%22%3A420877941023%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wj-mnuxk7yvlgxsae","CINCIN MEIDA CLASSIC - EMAS 17K - BUNGA TANJUNG GOLD","6.552.000","","4.9 Penilaian Toko",""
"https://shopee.co.id/CINCIN-V-AUREL-SHIMMER-YU-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.28189455537?extraParams=%7B%22display_model_id%22%3A224685448489%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-82251-mksxtz8bj18n53","CINCIN V AUREL SHIMMER YU - EMAS 17K - BUNGA TANJUNG GOLD","2.142.000","Pilih Lokal","5.0","80 terjual"
"https://shopee.co.id/CINCIN-WAVE-OCEAN-BOLD-EMAS-18K-BUNGA-TANJUNG-GOLD-i.48895190.27594642500?extraParams=%7B%22display_model_id%22%3A435809183154%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wp-mn9g7560fkzq64","CINCIN WAVE OCEAN BOLD - EMAS 18K - BUNGA TANJUNG GOLD","5.166.000","Pilih Lokal","4.9 Penilaian Toko",""
"https://shopee.co.id/CINCIN-UNLIMITED-SHIMMER-B-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.20613889091?extraParams=%7B%22display_model_id%22%3A193737985709%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224p-mkt8e7kkj8xzb3","CINCIN UNLIMITED SHIMMER B - EMAS 17K - BUNGA TANJUNG GOLD","7.938.000","Pilih Lokal","5.0","22 terjual"
"https://shopee.co.id/CINCIN-ORLENA-TWIST-BOLD-EMAS-18K-BUNGA-TANJUNG-GOLD-i.48895190.53409129085?extraParams=%7B%22display_model_id%22%3A385809031160%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wn-mn9g75609ypyee","CINCIN ORLENA TWIST BOLD - EMAS 18K - BUNGA TANJUNG GOLD","6.552.000","Pilih Lokal","4.9 Penilaian Toko",""
"https://shopee.co.id/CINCIN-CATALINA-SHIMMER-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.14023538479?extraParams=%7B%22display_model_id%22%3A415227733779%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224r-mkrzyneoz47ae1","CINCIN CATALINA SHIMMER - EMAS 17K - BUNGA TANJUNG GOLD","1.297.000","Pilih Lokal","4.9","167 terjual"
