nama_produk,harga,lokasi,rating,terjual
GELANG FASHION CLOVER BUNGA 1 - EMAS 17K - BUNGA TANJUNG GOLD,12.323.000,Pilih Lokal,5.0,4 terjual
GELANG LUXURY CHAIN ARSIR B - EMAS 17K - BUNGA TANJUNG GOLD,21.487.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE ELVARA CHAIN - EMAS 17K - BUNGA TANJUNG GOLD,28.814.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE KIANA TWIST - EMAS 17K - BUNGA TANJUNG GOLD,13.910.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG VAR 64 - EMAS 17K - BUNGA TANJUNG GOLD,10.564.950,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE KIARA UNTIR BLINK - EMAS 17K - BUNGA TANJUNG GOLD,11.426.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SERUT BOBBA KOIN SHIMMER - EMAS 17K - BUNGA TANJUNG GOLD,7.700.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG LAYER CHOKER SHIMMER D KH - EMAS 17K - BUNGA TANJUNG GOLD,15.732.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE LISTRING LAYER KOTAK - EMAS 17K - BUNGA TANJUNG GOLD,16.519.000,Pilih Lokal,5.0,3 terjual
GELANG FASHION ULAR B - EMAS 17K - BUNGA TANJUNG GOLD,17.305.000,Pilih Lokal,5.0,1 terjual
GELANG IGUN BANGLE DANCING STONE - EMAS 17K - BUNGA TANJUNG GOLD,9.125.000,Pilih Lokal,5.0,3 terjual
GELANG BANGLE POLOS TEDDY BEAR PINK C - EMAS 17K - BUNGA TANJUNG GOLD,16.388.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG PLAT RUMBAI KOTAK - EMAS 17K - BUNGA TANJUNG GOLD,14.421.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE LAUREL BLINK - EMAS 17K - BUNGA TANJUNG GOLD,24.095.000,,4.9 Penilaian Toko,
GELANG MILANO TEDDY BEAR PINK B - EMAS 17K - BUNGA TANJUNG GOLD,19.272.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG VAR 58 - EMAS 17K - BUNGA TANJUNG GOLD,11.157.750,,4.9 Penilaian Toko,
GELANG REFLECTA PAPERCLIP FANIA STAR - EMAS 18K - BUNGA TANJUNG GOLD,11.088.000,,4.9 Penilaian Toko,
GELANG RUMBAI PITA BELL - EMAS 17K - BUNGA TANJUNG GOLD,16.394.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG HATI PIPIH BOLD - EMAS 18K - BUNGA TANJUNG GOLD,8.001.000,Pilih Lokal,3.7,4 terjual
GELANG BANGLE PEARLY FLOWER - EMAS 17K - BUNGA TANJUNG GOLD,14.159.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG VAR 53 - EMAS 17K - BUNGA TANJUNG GOLD,11.870.250,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE TINJU PRISM BOLD - EMAS 18K - BUNGA TANJUNG GOLD,49.794.000,Pilih Lokal,5.0,1 terjual
GELANG CLOVER RUMBAI MATA - EMAS 17K - BUNGA TANJUNG GOLD,5.796.000,21 terjual,4.9,
GELANG BANGLE PITA 2 LAYER BLINK  - EMAS 17K - BUNGA TANJUNG GOLD,11.799.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE SOLENE DJUJU INFINITY BLINK - SYIFA HADJU - EMAS 17K - BUNGA TANJUNG GOLD,15.898.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG KUPU TWIN LAYER BLINK - EMAS 17K - BUNGA TANJUNG GOLD,30.802.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG FLOWER COLOR BLOSSOM LY - EMAS 17K - BUNGA TANJUNG GOLD,25.213.000,24 terjual,4.9,
GELANG NEW ARRIVAL 18 - EMAS 17K - BUNGA TANJUNG GOLD,23.598.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG UNLIMITED CLOVER ARSIR - EMAS 17K - BUNGA TANJUNG GOLD,27.324.000,,4.9 Penilaian Toko,
GELANG RANTAI RUMBAI ROYALE - EMAS 17K - BUNGA TANJUNG GOLD,11.426.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG FASHION PAKU C - EMAS 17K - BUNGA TANJUNG GOLD,14.028.000,Pilih Lokal,4.5,4 terjual
GELANG BANGLE WAVE CHARLOTE - EMAS 17K - BUNGA TANJUNG GOLD,12.455.000,Pilih Lokal,5.0,1 terjual
GELANG PAPERCLIP SHIMMER B - EMAS 17K - BUNGA TANJUNG GOLD,13.662.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG VAR 62 - EMAS 17K - BUNGA TANJUNG GOLD,11.514.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG CHARLOTTE GOLD BLINK - EMAS 17K - BUNGA TANJUNG GOLD,17.262.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SERUT TETES ARSIR - EMAS 17K - BUNGA TANJUNG GOLD,7.473.000,Pilih Lokal,5.0,3 terjual
GELANG NEW ARRIVAL 16 - EMAS 17K - BUNGA TANJUNG GOLD,17.388.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG GOLDEN CALESTIA D - EMAS 17K - BUNGA TANJUNG GOLD,21.114.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE POLOS C - EMAS 17K - BUNGA TANJUNG GOLD,30.744.000,Pilih Lokal,5.0,18 terjual
GELANG BANGLE TUBE POLOS BOLD - EMAS 18K - BUNGA TANJUNG GOLD,16.002.000,Pilih Lokal,5.0,3 terjual
GELANG BANGLE FLAT SIMPUL BLINK - EMAS 17K - BUNGA TANJUNG GOLD,43.181.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG CLOVER RING - EMAS 17K - BUNGA TANJUNG GOLD,9.324.000,Pilih Lokal,4.9,15 terjual
GELANG DISNEY MICKEY MINNIE PAPERCLIP RINGAN B - EMAS 17K - BUNGA TANJUNG GOLD,15.876.000,6 terjual,5.0,
GELANG TWIN KERANCANG PRISMA BLINK - EMAS 17K - BUNGA TANJUNG GOLD,42.228.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG PAPERCLIP VARIASI PITA B KH - EMAS 17K - BUNGA TANJUNG,16.146.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE UNTIR TWIN BLINK - EMAS 17K - BUNGA TANJUNG GOLD,10.930.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG CHOKER ELEZTRA VARIASI PITA - EMAS 17K - BUNGA TANJUNG GOLD,9.828.000,Pilih Lokal,4.8,7 terjual
GELANG BANGLE ZEFIA BLOOM A - EMAS 17K - BUNGA TANJUNG GOLD,17.388.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE KIANA LOVELY - EMAS 17K - BUNGA TANJUNG GOLD,13.910.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG VAR 52 - EMAS 17K - BUNGA TANJUNG GOLD,12.582.750,Pilih Lokal,4.9 Penilaian Toko,
GELANG PAPERCLIP ROUND LOVE B - EMAS 17K - BUNGA TANJUNG GOLD,13.165.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG RADIANTZ - SDW GOLD - EMAS 18K - BUNGA TANJUNG GOLD,9.177.000,Pilih Lokal,5.0,4 terjual
GELANG CLOVER RAINBOW - EMAS 17K - BUNGA TANJUNG GOLD,5.292.000,Pilih Lokal,4.0,5 terjual
GELANG KIPAS WT - EMAS 17K - BUNGA TANJUNG GOLD,19.393.000,Pilih Lokal,5.0,1 terjual
GELANG BANGLE INFINITY SQUARE BOLD - EMAS 18K - BUNGA TANJUNG GOLD,22.108.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG FASHION BOBBA BUBBLE POP D - EMAS 17K - BUNGA TANJUNG GOLD,20.583.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BOBBA LUCKY CAT KH - EMAS 17K - BUNGA TANJUNG GOLD,18.616.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE OVAL BLINK A - EMAS 17K - BUNGA TANJUNG GOLD,24.909.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE ETERNAL LATTICE BOLD - EMAS 18K - BUNGA TANJUNG GOLD,43.594.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BOBBA BUBBLE POP ARSIR VARIASI C - EMAS 17K - BUNGA TANJUNG GOLD,19.796.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE WRAP DOUBLE LAYER BOLD - EMAS 18K - BUNGA TANJUNG GOLD,26.206.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE HERME CHAIN BOLD - EMAS 18K - BUNGA TANJUNG GOLD,19.127.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SERUT SOLENE DJUJU BULAT - SYIFA HADJU - EMAS 17K - BUNGA TANJUNG GOLD,8.694.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG RUMBAI BOBBA SWEETIE TAS - EMAS 17K - BUNGA TANJUNG GOLD,14.656.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG RANTAI GOLD BAR - EMAS 17K - BUNGA TANJUNG GOLD,34.900.000,,4.9 Penilaian Toko,
GELANG BANGLE KIANA SHINE - EMAS 17K - BUNGA TANJUNG GOLD,15.898.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE CLOVER LISTRING LAYER B - EMAS 17K - BUNGA TANJUNG GOLD,15.649.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SERUT TETES AIR B - EMAS 17K - BUNGA TANJUNG GOLD,6.930.000,Pilih Lokal,5.0,9 terjual
GELANG BOBBA BUBBLE POP PEGASUS KH - EMAS 17K - BUNGA TANJUNG GOLD,15.732.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE ELORA PITA ROSE - EMAS 17K - BUNGA TANJUNG GOLD,10.881.000,Pilih Lokal,4.9 Penilaian Toko,
KALUNG STARDUST A  - EMAS 17K - BUNGA TANJUNG GOLD,8.442.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG RANTAI STARFISH B DA-YUNG - EMAS 17K - BUNGA TANJUNG GOLD,16.256.000,Pilih Lokal,5.0,1 terjual
GELANG BANGLE TINJU DUA LAYER SQUARE BOLD - EMAS 18K - BUNGA TANJUNG GOLD,28.566.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE NARA FLOWER - EMAS 17K - BUNGA TANJUNG GOLD,15.470.000,Pilih Lokal,5.0,2 terjual
GELANG PAPERCLIP RUMBAI GEMBOK CLOVER KERANCANG - EMAS 17K - BUNGA TANJUNG GOLD,28.318.000,Pilih Lokal,5.0,1 terjual
GELANG BANGLE POLOS WAVE D - EMAS 17K - BUNGA TANJUNG GOLD,25.827.000,Pilih Lokal,5.0,1 terjual
GELANG FASHION BANGLE KEPANG VARIASI - EMAS 17K - BUNGA TANJUNG GOLD,24.516.000,Pilih Lokal,5.0,2 terjual
GELANG RANTAI FLAT GEOMETRI BLINK - EMAS 17K - BUNGA TANJUNG GOLD,74.697.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG GOLDEN CALESTIA B - EMAS 17K - BUNGA TANJUNG GOLD,50.395.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG CHOKER PITA VARIASI A - EMAS 17K - BUNGA TANJUNG GOLD,5.465.000,Pilih Lokal,5.0,1 terjual
GELANG BANGLE SIMPUL BOLD - EMAS 18K - BUNGA TANJUNG GOLD,14.904.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG PAPERCLIP RUMBAI HATI B - EMAS 17K - BUNGA TANJUNG GOLD,19.927.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG STARDUST A - EMAS 17K - BUNGA TANJUNG GOLD,10.881.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE DISCO VARIASI A - EMAS 17K - BUNGA TANJUNG GOLD,22.108.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE SOLITAIRE BULAT A - EMAS 17K - BUNGA TANJUNG GOLD,11.406.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG PAPERCLIP RUMBAI KERANCANG A - EMAS 17K - BUNGA TANJUNG GOLD,29.131.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SERUT HATI 3 PLAT BLINK - EMAS 17K - BUNGA TANJUNG GOLD,6.293.000,Pilih Lokal,5.0,1 terjual
GELANG WILLOW LEAF UNTIR - EMAS 17K - BUNGA TANJUNG GOLD,29.684.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG DEEP ROYAL A - SDW GOLD - EMAS 18K - BUNGA TANJUNG,13.372.000,Pilih Lokal,5.0,4 terjual
GELANG PITA GLOSSY - EMAS 17K - BUNGA TANJUNG GOLD,25.709.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG DISNEY MICKEY - EMAS 17K - BUNGA TANJUNG GOLD,16.891.000,63 terjual,4.7,
GELANG VAR 56 - EMAS 17K - BUNGA TANJUNG GOLD,11.039.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG NEW ARRIVAL 15 - EMAS 17K - BUNGA TANJUNG GOLD,15.649.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG VAR 69 - EMAS 17K - BUNGA TANJUNG GOLD,11.121.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG TRUE COLORS MIX C - SDW GOLD - EMAS 18K - BUNGA TANJUNG GOLD,15.464.000,Pilih Lokal,5.0,2 terjual
GELANG LUXURY BOLA LOCK - EMAS 17K - BUNGA TANJUNG GOLD,23.101.000,,4.9 Penilaian Toko,
GELANG BANGLE GEOMETRI C BOLD - EMAS 18K - BUNGA TANJUNG GOLD,33.891.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE TINJU LOVELY BOLD - EMAS 17K - BUNGA TANJUNG GOLD,17.885.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE KIPAS B - EMAS 17K - BUNGA TANJUNG GOLD,15.152.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE TINJU DELIMA BOLD - EMAS 18K - BUNGA TANJNG GOLD,24.095.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG GOLDEN CALESTIA C - EMAS 17K - BUNGA TANJUNG GOLD,25.213.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG VAR 57 - EMAS 17K - BUNGA TANJUNG GOLD,10.564.950,Pilih Lokal,4.9 Penilaian Toko,
GELANG CHARLOTTE LAYER WAVE - EMAS 17K - BUNGA TANJUNG GOLD,24.647.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE ZEFIA BLOOM F - EMAS 17K - BUNGA TANJUNG GOLD,15.277.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG HOLLOW PAPERCLIP HATI GEMBOK - EMAS 17K - BUNGA TANJUNG GOLD,10.488.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG LUNA FLOWER - EMAS 17K - BUNGA TANJUNG GOLD,10.681.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG RIRI RANTAI KAPSUL - EMAS 17K - BUNGA TANJUNG GOLD,6.293.000,Pilih Lokal,5.0,5 terjual
GELANG SERUT BOBBA SWEETIE HATI - EMAS 17K - BUNGA TANJUNG GOLD,11.923.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SUPER FLAT HOLOGRAM VARIASI - EMAS 17K - BUNGA TANJUNG GOLD,12.095.000,Pilih Lokal,5.0,5 terjual
GELANG BANGLE UNLIMITED GEOMETRI BOLD - EMAS 18K - BUNGA TANJUNG GOLD,30.056.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE SNOWBALL LISTRING B - EMAS 17K - BUNGA TANJUNG GOLD,18.354.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG PAKU BERAT RINGAN BLINK B - EMAS 17K - BUNGA TANJUNG GOLD,12.147.000,Pilih Lokal,5.0,4 terjual
GELANG BANGLE SOLENE DJUJU WAVE BULAT - SYIFA HADJU - EMAS 17K - BUNGA TANJUNG GOLD,16.643.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG PLAT SHIMMER - EMAS 17K - BUNGA TANJUNG GOLD,22.025.000,Pilih Lokal,5.0,1 terjual
GELANG BANGLE UNTIR POLOS - EMAS 17K - BUNGA TANJUNG GOLD,14.656.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG FLICTA GIOMETRI  - EMAS 17K - BUNGA TANJUNG GOLD,15.498.000,,4.9 Penilaian Toko,
GELANG BANGLE PRISMA BLINK - EMAS 17K - BUNGA TANJUNG GOLD,35.135.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG RANTAI MEGUMI WAVE - EMAS 17K - BUNGA TANJUNG GOLD,5.962.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG CUBAN LINK - EMAS 17K - BUNGA TANJUNG GOLD,43.470.000,,4.9 Penilaian Toko,
GELANG BOLA ARSIR VARIASI D - EMAS 17K - BUNGA TANJUNG GOLD,23.074.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG HOLLOW BOBBA PEAR - EMAS 17K - BUNGA TANJUNG GOLD,20.120.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG ELVARA PAPERCLIP BOLD - EMAS 18K - BUNGA TANJUNG GOLD,13.687.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG TANIA PAPERCLIP ARSIR - EMAS 17K - BUNGA TANJUNG GOLD,18.144.000,,4.9 Penilaian Toko,
GELANG SISIK NAGA PITA HATI GEMBOK BLINK - EMAS 17K - BUNGA TANJUNG GOLD,34.031.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG VAR 61 - EMAS 17K - BUNGA TANJUNG GOLD,12.870.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG KEPANG SHIMMER ARSIR C - EMAS 17K - BUNGA TANJUNG GOLD,31.857.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG UNLIMITED TWIN TETES BOLD - EMAS 18K - BUNGA TANJUNG GOLD,19.624.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG LUNA BULAT BOLD - EMAS 18K - BUNGA TANJUNG GOLD,13.662.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG PAPERCLIP RUMBAI HATI WARNA B - EMAS 17K - BUNGA TANJUNG GOLD,25.834.000,Pilih Lokal,5.0,2 terjual
GELANG GOLDEN CALESTIA E - EMAS 17K - BUNGA TANJUNG GOLD,19.375.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG PAPERCLIP RUMBAI BOBBA - EMAS 17K - BUNGA TANJUNG GOLD,30.022.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG VAR 63 - EMAS 17K - BUNGA TANJUNG GOLD,11.495.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE PLAT VARIASI C - EMAS 17K - BUNGA TANJUNG GOLD,18.382.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG VAR 70 - EMAS 17K - BUNGA TANJUNG GOLD,10.920.250,Pilih Lokal,4.9 Penilaian Toko,
GELANG PAPERCLIP LOCK KEY - EMAS 17K - BUNGA TANJUNG GOLD,11.178.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG CALLA LILY - SDW GOLD - EMAS 18K - BUNGA TANJUNG GOLD,25.827.000,Pilih Lokal,5.0,1 terjual
GELANG GOLD BAR - EMAS 17K - BUNGA TANJUNG GOLD,5.465.000,,4.9 Penilaian Toko,
GELANG BAGUETTE RUBY SERIES - SDW GOLD - EMAS BUNGA TANJUNG GOLD,11.012.000,Pilih Lokal,5.0,2 terjual
GELANG BANGLE TINJU BOBBA BUBBLE BOLD - EMAS 18K - BUNGA TANJUNG GOLD,20.990.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE ETERNA LOVE - EMAS 17K - BUNGA TANJUNG GOLD,18.630.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE WAVE C BOLD - EMAS 18K - BUNGA TANJUNG GOLD,28.193.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG KEPANG SHIMMER ARSIR D - EMAS 17K - BUNGA TANJUNG GOLD,15.994.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BOLA ARSIR VARIASI B - EMAS 17K - BUNGA TANJUNG GOLD,23.598.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE KIANA STARLISSE - EMAS 17K - BUNGA TANJUNG GOLD,18.382.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG TITAN PHAREL - EMAS 17K - BUNGA TANJUNG GOLD,19.127.000,,4.9 Penilaian Toko,
GELANG BANGLE TINJU KUCING C - EMAS 17K - BUNGA TANJUNG GOLD,28.318.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG HOLLOW RUMBAI BUAH DURIAN - EMAS 17K - BUNGA TANJUNG GOLD,29.560.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE SPIRAL DIVA WARNA BS - EMAS 17K - BUNGA TANJUNG GOLD,16.519.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE SAPPHIRE D YU - EMAS 17K - BUNGA TANJUNG GOLD,23.598.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE TINJU KERAWANG KUCING - EMAS 17K - BUNGA TANJUNG GOLD,55.487.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE CLASSIC POLOS - EMAS 17K - BUNGA TANJUNG GOLD,21.611.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SISIK NAGA PLAT CROWN - EMAS 17K - BUNGA TANJUNG GOLD,29.560.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE KIANA BLINK - EMAS 17K - BUNGA TANJUNG GOLD,15.649.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE BAMBU A - EMAS 17K - BUNGA TANJUNG GOLD,30.926.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BOLA ARSIR VARIASI C - EMAS 17K - BUNGA TANJUNG GOLD,16.388.000,Pilih Lokal,4.5,2 terjual
GELANG BANGLE SOLENE DJUJU FLOWER - SYIFA HADJU - EMAS 17K - BUNGA TANJUNG GOLD,20.120.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SERUT TWIN WILLOW NATURAL LEAF - EMAS 17K - BUNGA TANJUNG GOLD,7.079.000,Pilih Lokal,5.0,3 terjual
GELANG BANGLE CLOVER H - EMAS 17K - BUNGA TANJUNG GOLD,12.917.000,,4.9 Penilaian Toko,
GELANG HOLLOW PAPERCLIP SHIMMER - EMAS 17K - BUNGA TANJUNG GOLD,14.538.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG LUNA SQUARE BOLD - EMAS 18K - BUNGA TANJUNG GOLD,15.357.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE GEO WAVE - EMAS 17K - BUNGA TANJUNG GOLD,29.808.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE DAINA BLINK - EMAS 17K - BUNGA TANJUNG GOLD,5.751.000,Pilih Lokal,5.0,2 terjual
GELANG BANGLE ZEFIA BLOOM E - EMAS 17K - BUNGA TANJUNG GOLD,17.636.000,Pilih Lokal,4.9 Penilaian Toko,
CINCIN STARDUST B - EMAS 17K - BUNGA TANJUNG GOLD,3.780.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE TINJU T BOLD - EMAS 18K - BUNGA TANJUNG GOLD,16.033.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE DOUBLE LOVE CUPID  - EMAS 17K - BUNGA TANJUNG GOLD,21.362.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE LINEA TWIST - EMAS 17K - BUNGA TANJUNG GOLD,20.120.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG PAPERCLIP CLOVER BOBBA SHIMMER LY - EMAS 17K - BUNGA TANJUNG GOLD,6.385.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG RUMBAI QILIN - EMAS 17K - BUNGA TANJUNG GOLD,17.388.000,,4.9 Penilaian Toko,
GELANG TAMBANG UNTIR - EMAS 17K - BUNGA TANJUNG GOLD,9.563.000,Pilih Lokal,5.0,63 terjual
GELANG BANGLE SOLENE DJUJU LEAF BLINK - SYIFA HADJU - EMAS 17K - BUNGA TANJUNG GOLD,13.786.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE GREEK KEY - EMAS 17K - BUNGA TANJUNG GOLD,21.238.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE LAYER TINE HATI - EMAS 17K - BUNGA TANJUNG GOLD,12.192.000,Pilih Lokal,5.0,2 terjual
GELANG CHOKER PITA BOLA ARSIR - EMAS 17K - BUNGA TANJUNG GOLD,7.735.000,Pilih Lokal,5.0,3 terjual
GELANG RUMBAI PAPERCLIP LOVELY BELL - EMAS 17K - BUNGA TANJUNG GOLD,25.958.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG RANTAI SEASHELL A DA-YUNG - EMAS 17K - BUNGA TANJUNG GOLD,3.974.000,Pilih Lokal,5.0,1 terjual
GELANG BANGLE TINJU KUCING A - EMAS 17K - BUNGA TANJUNG GOLD,26.827.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG PAPERCLIP BOBBA SHIMMER E - EMAS 17K - BUNGA TANJUNG GOLD,5.465.000,Pilih Lokal,5.0,1 terjual
GELANG LAYER MERICA C - EMAS 17K - BUNGA TANJUNG GOLD,10.332.000,Pilih Lokal,4.6,7 terjual
GELANG VAR 66 - EMAS 17K - BUNGA TANJUNG GOLD,13.620.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG RANTAI ARSIR FLOWER KH - EMAS 17K - BUNGA TANJUNG GOLD,35.024.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG VAR 27 - EMAS 17K - BUNGA TANJUNG GOLD,4.984.000,,4.9 Penilaian Toko,
GELANG BANGLE LISTRING E - EMAS 17K - BUNGA TANJUNG GOLD,12.586.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG SERUT BELA MOON STAR - EMAS 17K - BUNGA TANJUNG GOLD,4.982.000,Pilih Lokal,5.0,2 terjual
GELANG PAPERCLIP LOVE BLINK - EMAS 17K - BUNGA TANJUNG GOLD,19.520.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG HOLLOW KUNCI HATI GEMBOK B - EMAS 17K - BUNGA TANJUNG GOLD,22.025.000,Pilih Lokal,5.0,1 terjual
CINCIN TRIANGEL BOLD - EMAS 18K - BUNGA TANJUNG GOLD,5.796.000,Pilih Lokal,5.0,2 terjual
GELANG SERUT PITA BOLA ARSIR - EMAS 17K - BUNGA TANJUNG GOLD,9.308.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG VELA BOBBA KERANCANG FLOWER - EMAS 17K - BUNGA TANJUNG GOLD,37.260.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG HERME BOLA PASIR A - EMAS 17K - BUNGA TANJUNG GOLD,17.961.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG PAPERCLIP RUMBAI BOLA FLOWER - EMAS 17K -  BUNGA TANJUNG GOLD,21.238.000,Pilih Lokal,5.0,1 terjual
GELANG SNOWBALL 2 LAYER RUMBAI A - EMAS 17K - BUNGA TANJUNG GOLD,6.426.000,Pilih Lokal,5.0,5 terjual
GELANG BANGLE ZEFIA BLOOM G - EMAS 17K - BUNGA TANJUNG GOLD,21.114.000,Pilih Lokal,4.9 Penilaian Toko,
GELANG BANGLE SISIK IKAN A - EMAS 17K - BUNGA TANJUNG GOLD,18.506.000,Pilih Lokal,4.9 Penilaian Toko,
