"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","inline-block","truncate","truncate 2"
"https://shopee.co.id/KALUNG-VAR-56-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.53857741931?extraParams=%7B%22display_model_id%22%3A405897649803%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wj-mo0x4ppfz56pfa","KALUNG VAR 56 - EMAS 17K - BUNGA TANJUNG GOLD","6.372.450","4.9 Penilaian Toko","Pilih Lokal",""
"https://shopee.co.id/KALUNG-KIDS-ANAK-ANIMALS-BAMBI-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.46060036403?extraParams=%7B%22display_model_id%22%3A440883354355%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822ws-mnwph0jwye4g5a","KALUNG KIDS ANAK ANIMALS BAMBI - EMAS 17K - BUNGA TANJUNG GOLD","6.552.000","4.9 Penilaian Toko","",""
"https://shopee.co.id/KALUNG-VAR-60-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.58157894168?extraParams=%7B%22display_model_id%22%3A415897768591%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wl-mo0z0ily74eaea","KALUNG VAR 60 - EMAS 17K - BUNGA TANJUNG GOLD","7.752.850","4.9 Penilaian Toko","Pilih Lokal",""
"https://shopee.co.id/KALUNG-HOLLOW-TETES-B-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.45558112823?extraParams=%7B%22display_model_id%22%3A390719440903%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wr-mmjso1fnfawyc2","KALUNG HOLLOW TETES B - EMAS 17K - BUNGA TANJUNG GOLD","6.930.000","4.9 Penilaian Toko","Pilih Lokal",""
"https://shopee.co.id/KALUNG-KOIN-PLAT-SHIMMER-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.14119252736?extraParams=%7B%22display_model_id%22%3A345514535432%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-8224u-mkt9elqolq8462","KALUNG KOIN PLAT SHIMMER - EMAS 17K - BUNGA TANJUNG GOLD","12.096.000","5.0","Pilih Lokal","17 terjual"
"https://shopee.co.id/KALUNG-SOLITAIRE-KIPAS-THIN-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.26438104263?extraParams=%7B%22display_model_id%22%3A365513134782%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wj-mln9xbvyce0z28","KALUNG SOLITAIRE KIPAS THIN - EMAS 17K - BUNGA TANJUNG GOLD","8.442.000","5.0","Pilih Lokal","14 terjual"
"https://shopee.co.id/KALUNG-RING-STARDUST-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.49758575115?extraParams=%7B%22display_model_id%22%3A370758391219%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wo-mmvkcm9hihvs7f","KALUNG RING STARDUST - EMAS 17K - BUNGA TANJUNG GOLD","6.678.000","4.9 Penilaian Toko","Pilih Lokal",""
"https://shopee.co.id/KALUNG-VAR-41-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.40804376899?extraParams=%7B%22display_model_id%22%3A370913405729%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wr-mo68odyi2z285d","KALUNG VAR 41 - EMAS 17K - BUNGA TANJUNG GOLD","12.319.900","4.9 Penilaian Toko","Pilih Lokal",""
"https://shopee.co.id/GELANG-BANGLE-HERME-POLOS-WARNA-RINGAN-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.40655543782?extraParams=%7B%22display_model_id%22%3A300467993693%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-7ra0r-mbbvjx3yte9k5c","GELANG BANGLE HERME POLOS WARNA RINGAN - EMAS 17K - BUNGA TANJUNG GOLD","8.128.000","4.9 Penilaian Toko","",""
"https://shopee.co.id/KALUNG-VAR-51-EMAS-17K-BUNGA-TANJUNG-GOLD-i.48895190.45607765768?extraParams=%7B%22display_model_id%22%3A430939070509%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134207-822wo-modzruwdc7wv50","KALUNG VAR 51 - EMAS 17K - BUNGA TANJUNG GOLD","3.842.000","4.9 Penilaian Toko","Pilih Lokal",""
